Discipline,Female,Male,Total
Artistic Swimming,105,0,105
Cycling Mountain Bike,38,38,76
Football,264,344,608
Triathlon,55,55,110
Shooting,178,178,356
Cycling Track,90,99,189
Sport Climbing,20,20,40
Golf,60,60,120
Handball,168,168,336
Athletics,969,1072,2041
Weightlifting,98,99,197
Judo,192,201,393
Cycling BMX Freestyle,10,9,19
Modern Pentathlon,36,36,72
Surfing,20,20,40
Fencing,107,108,215
