Discipline,Female,Male,Total
Marathon Swimming,25,25,50
Equestrian,73,125,198
Basketball,144,144,288
Baseball/Softball,90,144,234
Diving,72,71,143
Hockey,192,192,384
Trampoline Gymnastics,16,16,32
Cycling BMX Racing,24,24,48
Swimming,361,418,779
Wrestling,96,193,289
Boxing,102,187,289
Karate,40,42,82
Volleyball,144,144,288
Sailing,175,175,350
Rhythmic Gymnastics,96,0,96
