TeamName,Discipline,Country,Event
Belarus,Swimming,Belarus,Women's 4 x 100m Medley Relay
United States,Rugby Sevens,United States of America,Men
Canada,Cycling Track,Canada,Men's Team Pursuit
China,Swimming,People's Republic of China,Women's 4 x 100m Medley Relay
Chile,Football,Chile,Women
Hungary,Water Polo,Hungary,Men
Bansley/Brandie,Beach Volleyball,Canada,Women
CAMPOS Jorge / FONSECA Daniela,Table Tennis,Cuba,Mixed Doubles
Venezuela,Volleyball,Venezuela,Men
Great Britain,Cycling Track,Great Britain,Women's Team Pursuit
Australia,Cycling Track,Australia,Men's Team Pursuit
Ukraine,Artistic Swimming,Ukraine,Duet
Belgium,Triathlon,Belgium,Mixed Relay
ROC,Cycling Track,ROC,Women's Team Sprint
Australia,Rhythmic Gymnastics,Australia,Group All-Around
Alison/Alvaro Filho,Beach Volleyball,Brazil,Men
South Africa,Athletics,South Africa,Men's 4 x 400m Relay
Germany,Athletics,Germany,Men's 4 x 400m Relay
Belgium,Cycling Track,Belgium,Women's Madison
Ishii/Murakami,Beach Volleyball,Japan,Women
Dominican Rep.,Volleyball,Dominican Republic,Women
United States,Football,United States of America,Women
Italy,Archery,Italy,Women's Team
Japan,Basketball,Japan,Women
ROC,Artistic Gymnastics,ROC,Women's Team
United States,Rugby Sevens,United States of America,Women
United States,Athletics,United States of America,Men's 4 x 400m Relay
MIZUTANI Jun / ITO Mima,Table Tennis,Japan,Mixed Doubles
Germany,Artistic Gymnastics,Germany,Women's Team
Canada,Swimming,Canada,Women's 4 x 200m Freestyle Relay
South Africa,Hockey,South Africa,Women
Poland,Cycling Track,Poland,Women's Madison
Spain,Handball,Spain,Men
Italy,Swimming,Italy,Women's 4 x 200m Freestyle Relay
France,Table Tennis,France,Men's Team
Japan,Fencing,Japan,Men's Foil Team
Greece,Artistic Swimming,Greece,Team
Tunisia,Fencing,Tunisia,Women's Sabre Team
China,3x3 Basketball,People's Republic of China,Women
Egypt,Fencing,Egypt,Men's Foil Team
Australia,Baseball/Softball,Australia,Softball
South Africa,Football,South Africa,Men
United States,Fencing,United States of America,Men's �p�e Team
Trinidad & Tobago,Athletics,Trinidad and Tobago,Men's 4 x 100m Relay
Germany,Hockey,Germany,Women
France,Artistic Gymnastics,France,Women's Team
Netherlands,Water Polo,Netherlands,Women
Netherlands,Athletics,Netherlands,4 x 400m Relay Mixed
Australia,Hockey,Australia,Men
Canada,Water Polo,Canada,Women
Hungary,Fencing,Hungary,Men's Sabre Team
Sweden,Handball,Sweden,Women
France,Rugby Sevens,France,Women
Great Britain,Swimming,Great Britain,Mixed 4 x 100m Medley Relay
Canada,Hockey,Canada,Men
Germany,Triathlon,Germany,Mixed Relay
ROC,Swimming,ROC,Men's 4 x 200m Freestyle Relay
Nigeria,Athletics,Nigeria,Women's 4 x 100m Relay
Spain,Hockey,Spain,Women
China,Volleyball,People's Republic of China,Women
Japan,Baseball/Softball,Japan,Softball
Brazil,Football,Brazil,Women
Brazil,Swimming,Brazil,Women's 4 x 100m Freestyle Relay
United States,Fencing,United States of America,Men's Foil Team
Poland,Athletics,Poland,Women's 4 x 100m Relay
ROC,Fencing,ROC,Men's Sabre Team
ROC,Cycling Track,ROC,Women's Madison
Canada,Rugby Sevens,Canada,Men
United States,Archery,United States of America,Men's Team
France,Fencing,France,Men's �p�e Team
Hungary,Triathlon,Hungary,Mixed Relay
Argentina,Hockey,Argentina,Men
Brazil,Athletics,Brazil,4 x 400m Relay Mixed
Puerto Rico,Basketball,Puerto Rico,Women
Chinese Taipei,Artistic Gymnastics,Chinese Taipei,Men's Team
France,Volleyball,France,Men
Australia,Basketball,Australia,Men
Denmark,Athletics,Denmark,Men's 4 x 100m Relay
Netherlands,Swimming,Netherlands,Men's 4 x 100m Freestyle Relay
Poland,Archery,Poland,Mixed Team
Colombia,Archery,Colombia,Mixed Team
South Africa,Swimming,South Africa,Women's 4 x 200m Freestyle Relay
Zambia,Football,Zambia,Women
Germany,Swimming,Germany,Men's 4 x 100m Freestyle Relay
Mexico,Football,Mexico,Men
Singapore,Table Tennis,Singapore,Women's Team
Japan,Athletics,Japan,Men's 4 x 400m Relay
China,Swimming,People's Republic of China,Mixed 4 x 100m Medley Relay
Italy,Athletics,Italy,Men's 4 x 100m Relay
Mexico,Artistic Swimming,Mexico,Duet
Australia,Swimming,Australia,Men's 4 x 200m Freestyle Relay
Japan,3x3 Basketball,Japan,Women
China,Archery,People's Republic of China,Mixed Team
Ghana,Athletics,Ghana,Men's 4 x 100m Relay
Greece,Artistic Swimming,Greece,Duet
Islamic Rep. of Iran,Fencing,Islamic Republic of Iran,Men's Sabre Team
Israel,Artistic Swimming,Israel,Duet
Spain,Cycling Track,Spain,Men's Madison
Italy,Water Polo,Italy,Men
Spain,Hockey,Spain,Men
Austria,Cycling Track,Austria,Men's Madison
Italy,Swimming,Italy,Men's 4 x 200m Freestyle Relay
Japan,Football,Japan,Women
United States,Triathlon,United States of America,Mixed Relay
Belgium,Basketball,Belgium,Women
Switzerland,Cycling Track,Switzerland,Men's Madison
ROC,Fencing,ROC,Women's Foil Team
WONG Chun Ting / DOO Hoi Kem,Table Tennis,"Hong Kong, China",Mixed Doubles
Gallay/Pereyra,Beach Volleyball,Argentina,Women
Egypt,Artistic Swimming,Egypt,Team
Australia,Water Polo,Australia,Men
ROC,Swimming,ROC,Women's 4 x 100m Freestyle Relay
Japan,Table Tennis,Japan,Women's Team
Germany,Fencing,Germany,Men's Sabre Team
United States,Athletics,United States of America,Men's 4 x 100m Relay
Australia,Water Polo,Australia,Women
Canada,Swimming,Canada,Men's 4 x 100m Freestyle Relay
United States,Artistic Swimming,United States of America,Duet
