Rank,Team_Country,Gold,Silver,Bronze,Total,Rank by Total
56,Ethiopia,1,1,2,4,47
74,Malaysia,0,1,1,2,66
12,Brazil,7,6,8,21,12
59,Latvia,1,0,1,2,66
24,Switzerland,3,4,6,13,20
74,Jordan,0,1,1,2,66
58,Tunisia,1,1,0,2,66
15,Hungary,6,7,7,20,13
86,Grenada,0,0,1,1,77
63,Bermuda,1,0,0,1,77
41,Qatar,2,0,1,3,60
28,Serbia,3,1,5,9,26
59,Thailand,1,0,1,2,66
53,Austria,1,1,5,7,33
22,Spain,3,8,6,17,17
25,Denmark,3,4,4,11,23
4,Great Britain,22,21,22,65,4
84,Mexico,0,0,4,4,47
63,Puerto Rico,1,0,0,1,77
50,Philippines,1,2,1,4,47
77,Lithuania,0,1,0,1,77
55,Indonesia,1,1,3,5,42
39,Ireland,2,0,2,4,47
35,Turkey,2,2,9,13,20
14,Cuba,7,3,5,15,18
30,Bulgaria,3,1,2,6,39
86,Republic of Moldova,0,0,1,1,77
77,Namibia,0,1,0,1,77
29,Belgium,3,1,3,7,33
46,Venezuela,1,3,0,4,47
42,Bahamas,2,0,0,2,66
