Rank,Team_Country,Gold,Silver,Bronze,Total,Rank by Total
34,Chinese Taipei,2,4,6,12,22
48,India,1,2,4,7,33
9,Germany,10,11,16,37,8
11,Canada,7,6,11,24,11
2,People's Republic of China,38,32,18,88,2
36,Greece,2,1,1,4,47
67,Azerbaijan,0,3,4,7,33
1,United States of America,39,41,33,113,1
10,Italy,10,10,20,40,7
85,Finland,0,0,2,2,66
33,Georgia,2,5,1,8,29
52,South Africa,1,2,0,3,60
72,San Marino,0,1,2,3,60
42,Kosovo,2,0,0,2,66
71,Mongolia,0,1,3,4,47
56,Portugal,1,1,2,4,47
70,Kyrgyzstan,0,2,1,3,60
49,"Hong Kong, China",1,2,3,6,39
19,Kenya,4,4,2,10,25
6,Australia,17,7,22,46,6
26,Croatia,3,3,2,8,29
13,New Zealand,7,6,7,20,13
77,Turkmenistan,0,1,0,1,77
5,ROC,20,28,23,71,3
18,Czech Republic,4,4,3,11,23
16,Republic of Korea,6,4,10,20,13
86,Botswana,0,0,1,1,77
77,Bahrain,0,1,0,1,77
86,Burkina Faso,0,0,1,1,77
20,Norway,4,2,2,8,29
83,Kazakhstan,0,0,8,8,29
