Name,Country,Discipline,Event
LAIDLAW Clark,New Zealand,Rugby Sevens,Men
CHERNETSKA Natalia,Greece,Artistic Swimming,Duet
MATSUNO Yoshiyuki,Japan,Basketball,
AMAYA GAITAN Fabian,Puerto Rico,Basketball,
MERCEDES del ROSARIO Jose,Dominican Republic,Basketball,
LOUCKS Luke,Nigeria,Basketball,
WEINSTEIN Jerry,United States of America,Baseball/Softball,Baseball
MORIYASU Hajime,Japan,Football,Men
MEDINA Bobby,Nigeria,Basketball,
JENNINGS Dee,Australia,Hockey,
WIRTH Oscar,Chile,Football,
GOORJIAN Brian,Australia,Basketball,Men
HERGEIRSSON Thorir,Norway,Handball,Women
MALJKOVIC Marina,Serbia,Basketball,Women
TAKAKURA Asako,Japan,Football,Women
SHAHNAZI Shahbaz,Austria,Artistic Swimming,
BUNTING Allan,New Zealand,Rugby Sevens,Women
ANNAN Alyson,Netherlands,Hockey,Women
UDOVICIC Dejan,United States of America,Water Polo,Men
GUERRERO Rolando,Mexico,Baseball/Softball,Softball
BROWN Chris,United States of America,Rugby Sevens,Women
MARTIN LOZANO David,Spain,Water Polo,Men
GADEMAN Pasha,Canada,Hockey,Men
SIMIYU Innocent,Kenya,Rugby Sevens,Men
YURKIN Sergey,ROC,Volleyball,
CADENAS MONTANES Manuel,Argentina,Handball,Men
CASTRO Alex,Chile,Football,
SIGURDSSON Dagur,Japan,Handball,Men
MIURA Keiko,Japan,Hockey,Women
TARRES CAMPA Ana,Greece,Artistic Swimming,Team
RIBERA ROMANS Jordi,Spain,Handball,Men
JIA Xiuquan,People's Republic of China,Football,Women
DEMCHENKO Zhanna,Kazakhstan,Artistic Swimming,Duet
DIDENKO Natalia,Spain,Artistic Swimming,
VILLEGAS Orlando,Venezuela,Volleyball,
SAVIC Maja,Montenegro,Handball,Women
YUAN Lingxi,People's Republic of China,Volleyball,
GAIDUKOV Aleksandr,ROC,Water Polo,Women
MOHAMMED Silifat,Nigeria,Basketball,
BOLTON Alice,Nigeria,Basketball,
FUJIKI Mayuko,Spain,Artistic Swimming,Team
KOFFI Anthony,C�te d'Ivoire,Football,
BURLANDO Giovanna,Italy,Artistic Swimming,
MIHAILOVIC Predrag,Australia,Water Polo,Women
BACIU Horatiu,Romania,Football,
CHOI Il Eon,Republic of Korea,Baseball/Softball,Baseball
WALSH Tim,Australia,Rugby Sevens,Men
FAHMY LATIF Yasmine,Egypt,Artistic Swimming,
MESTDAGH Philip,Belgium,Basketball,Women
KIM Chanbin,Republic of Korea,Football,
JONES Chris,Canada,Baseball/Softball,Softball
TARR Heather,United States of America,Baseball/Softball,Softball
WALL Michael,United States of America,Volleyball,
ALY Kamal,Egypt,Football,
HENNING Andre,Canada,Hockey,Men
HOAG Glenn,Canada,Volleyball,Men
POPOVICH Gregg,United States of America,Basketball,Men
TAKITA Risako,Japan,Artistic Swimming,
PEDRERO Ofelia,Mexico,Artistic Swimming,Duet
JIMENEZ NIETO Cecilia,Spain,Artistic Swimming,
AMO AGUADO Pablo,Spain,Football,
PIZZOLINI Federico,Italy,Baseball/Softball,Softball
MLADENOVA Albena,Austria,Artistic Swimming,Duet
UTSUGI Reika,Japan,Baseball/Softball,Softball
ENGELLAND Chip,United States of America,Basketball,
HARROW Laing,Australia,Baseball/Softball,Softball
HAY Danny,New Zealand,Football,Men
KWIEK Marcos,Dominican Republic,Volleyball,Women
van GINKEL Robin,South Africa,Hockey,Women
FULI Saiasi,Fiji,Rugby Sevens,Women
ECHEZURIA Manuel,Venezuela,Basketball,
HEM Thon Ponloeu,Cambodia,Artistic Swimming,
PECCI Isabella,San Marino,Artistic Swimming,
FARINELLI Roberta,Italy,Artistic Swimming,Duet
HARDY William,United States of America,Basketball,
RECKINGER Xavier,Germany,Hockey,Women
COLLET Vincent,France,Basketball,Men
GRAZIOSI Gianluca,Italy,Volleyball,
UTKIN Volodymyr,Ukraine,Artistic Swimming,
PARRONDO Roberto,Egypt,Handball,Men
POWELL Neil,South Africa,Rugby Sevens,Men
KANEKO Makoto,Japan,Baseball/Softball,Baseball
BASSO Paola,Great Britain,Artistic Swimming,Duet
COURTEIX David,France,Rugby Sevens,Women
HARVEY Laura,United States of America,Football,
MASHA Mario,South Africa,Football,
JEROME Essapa,C�te d'Ivoire,Football,
MONTICO Loredana,Australia,Artistic Swimming,Duet
SHAWKY Gharib,Egypt,Football,Men
HUGHLEY JR Otis,Nigeria,Basketball,Women
ELAFANDI Nour,Egypt,Artistic Swimming,Duet
REQUENA PERICAS Judit,Spain,Artistic Swimming,Duet
MAYONNADE Emmanuel,Netherlands,Handball,Women
LANG Ping,People's Republic of China,Volleyball,Women
SPERAW John,United States of America,Volleyball,Men
NEVES Christophe,C�te d'Ivoire,Football,
PARADELO David,Canada,Water Polo,Women
FLOWERS Tairia,United States of America,Baseball/Softball,Softball
POWELL Katrina,Australia,Hockey,Women
GARCIA HERRERA Manuel,Dominican Republic,Baseball/Softball,Baseball
de OLIVEIRA Marcus Ricardo,Brazil,Handball,Men
ELEK Gabor,Hungary,Handball,Women
DOBSON Howard,United States of America,Baseball/Softball,Softball
ALEKSEEV Alexey,ROC,Handball,Women
